2025-08-23 01:47:11,284 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Task scheduled. Total domain tasks: 3
2025-08-23 01:47:11,284 | DEBUG   | scraper.async_orchestrator | 🌐 Processing domain: jp.mitsuichemicals.com (score: 88)
2025-08-23 01:47:11,284 | INFO    | scraper.async_http_client | Probing domain (sequential) for access method: jp.mitsuichemicals.com
2025-08-23 01:47:11,285 | DEBUG   | scraper.async_http_client | Testing access method https: https://jp.mitsuichemicals.com
2025-08-23 01:47:11,369 | WARNING | scraper.async_http_client | Async request failed (attempt 2/2): https://sinofert.com - Cannot connect to host sinofert.com:443 ssl:default [getaddrinfo failed]
2025-08-23 01:47:11,370 | WARNING | scraper.async_http_client | Async request failed (attempt 1/2): https://sinofert.com - Cannot connect to host sinofert.com:443 ssl:default [getaddrinfo failed]
2025-08-23 01:47:11,515 | DEBUG   | scraper.async_http_client | Async GET https://www.walter-schmidt-chemie.de/en/ -> 200 (len=20193)
2025-08-23 01:47:11,527 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/en/ (def from text)
2025-08-23 01:47:11,539 | DEBUG   | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/en/ (def from html)
2025-08-23 01:47:11,738 | DEBUG   | scraper.async_http_client | Async GET https://www.walter-schmidt-chemie.de/ -> 200 (len=20930)
2025-08-23 01:47:11,767 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/ (def from text)
2025-08-23 01:47:11,777 | DEBUG   | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/ (def from html)
2025-08-23 01:47:11,790 | DEBUG   | scraper.async_google_search | Async Google API search: "daf trucks" contact email
2025-08-23 01:47:11,791 | DEBUG   | scraper.async_google_search | Async rate limiting: waiting 0.80 seconds
2025-08-23 01:47:11,820 | DEBUG   | scraper.async_http_client | Async HEAD https://jp.mitsuichemicals.com -> 200 (len=0)
2025-08-23 01:47:11,820 | INFO    | scraper.async_http_client | Selected access method for jp.mitsuichemicals.com: https
2025-08-23 01:47:11,820 | DEBUG   | scraper.async_orchestrator | Using optimized URL pattern: https://jp.mitsuichemicals.com
2025-08-23 01:47:11,996 | DEBUG   | scraper.async_google_search | Async Google search returned 10 results for: "daf trucks" contact email
2025-08-23 01:47:11,997 | DEBUG   | scraper.async_google_search | [TRACE] run: finished search for daf trucks in 2.63s
2025-08-23 01:47:11,997 | INFO    | scraper.async_google_search | [ASYNC-GOOGLE] Completed search: daf trucks (results=10)
2025-08-23 01:47:11,997 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Got result from streaming: daf trucks
2025-08-23 01:47:11,997 | DEBUG   | scraper.async_orchestrator | [TRACE] Pulled company from google search: daf trucks
2025-08-23 01:47:11,997 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Starting domain scoring for: daf trucks
2025-08-23 01:47:11,998 | DEBUG   | scraper.domain_scorer | Domain score for daf trucks and daf.com: 100 (base: 100, penalty: 0)
2025-08-23 01:47:11,998 | DEBUG   | scraper.domain_scorer | Domain score for daf trucks and daf.global: 100 (base: 100, penalty: 0)
2025-08-23 01:47:11,998 | DEBUG   | scraper.domain_scorer | Domain score for daf trucks and daf.co.uk: 100 (base: 100, penalty: 0)
2025-08-23 01:47:11,998 | DEBUG   | scraper.domain_scorer | Domain score for daf trucks and rmi.daf.com: 100 (base: 100, penalty: 0)
2025-08-23 01:47:11,998 | DEBUG   | scraper.domain_scorer | Domain score for daf trucks and hereforddaftrucks.co.uk: 100 (base: 100, penalty: 0)
2025-08-23 01:47:11,998 | DEBUG   | scraper.domain_scorer | Domain score for daf trucks and gloucesterdaftrucks.co.uk: 100 (base: 100, penalty: 0)
2025-08-23 01:47:11,998 | DEBUG   | scraper.domain_scorer | Domain score for daf trucks and paccar.com: 36 (base: 36, penalty: 0)
2025-08-23 01:47:11,999 | DEBUG   | scraper.domain_scorer | Domain score for daf trucks and gbdaf.com: 75 (base: 75, penalty: 0)
2025-08-23 01:47:11,999 | DEBUG   | scraper.domain_scorer | Domain score for daf trucks and chassiscab.com: 30 (base: 30, penalty: 0)
2025-08-23 01:47:11,999 | DEBUG   | scraper.domain_scorer | Domain score for daf trucks and suttondaftrucks.co.uk: 100 (base: 100, penalty: 0)
2025-08-23 01:47:11,999 | DEBUG   | scraper.domain_scorer | Best domain for daf trucks: https://www.daf.com/en/contact (score: 100)
2025-08-23 01:47:11,999 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Domain scoring complete: daf trucks -> https://www.daf.com/en/contact (score=100)
2025-08-23 01:47:11,999 | DEBUG   | scraper.async_orchestrator | [TRACE] Domain scored for daf trucks: https://www.daf.com/en/contact
2025-08-23 01:47:12,000 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Domain passed threshold for daf trucks: 100 >= 65
2025-08-23 01:47:12,000 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Normalized domain: https://www.daf.com/en/contact -> daf.com
2025-08-23 01:47:12,000 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Creating domain task: daf.com for company daf trucks
2025-08-23 01:47:12,000 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Task scheduled. Total domain tasks: 4
2025-08-23 01:47:12,000 | DEBUG   | scraper.async_orchestrator | 🌐 Processing domain: daf.com (score: 100)
2025-08-23 01:47:12,000 | INFO    | scraper.async_http_client | Probing domain (sequential) for access method: daf.com
2025-08-23 01:47:12,001 | DEBUG   | scraper.async_http_client | Testing access method https: https://daf.com
2025-08-23 01:47:12,267 | DEBUG   | scraper.async_http_client | Async GET https://walter-schmidt-chemie.de/index.html -> 200 (len=20930)
2025-08-23 01:47:12,277 | INFO    | scraper.email_extractor |   0 emails on https://walter-schmidt-chemie.de/index.html (def from text)
2025-08-23 01:47:12,286 | DEBUG   | scraper.email_extractor |   0 emails on https://walter-schmidt-chemie.de/index.html (def from html)
2025-08-23 01:47:12,296 | DEBUG   | scraper.async_http_client | Async HEAD https://daf.com -> 200 (len=0)
2025-08-23 01:47:12,296 | INFO    | scraper.async_http_client | Selected access method for daf.com: https
2025-08-23 01:47:12,296 | DEBUG   | scraper.async_orchestrator | Using optimized URL pattern: https://daf.com
2025-08-23 01:47:12,323 | DEBUG   | scraper.async_http_client | Async GET https://jp.mitsuichemicals.com -> 200 (len=149931)
2025-08-23 01:47:12,365 | INFO    | scraper.email_extractor |   0 emails on https://jp.mitsuichemicals.com (def from text)
2025-08-23 01:47:12,405 | DEBUG   | scraper.email_extractor |   0 emails on https://jp.mitsuichemicals.com (def from html)
2025-08-23 01:47:12,495 | WARNING | scraper.async_http_client | Async request failed (attempt 2/2): https://sinofert.com - Cannot connect to host sinofert.com:443 ssl:default [getaddrinfo failed]
2025-08-23 01:47:12,495 | DEBUG   | scraper.async_http_client | Testing access method http: http://sinofert.com
2025-08-23 01:47:12,496 | WARNING | scraper.async_http_client | Async request failed (attempt 1/2): http://sinofert.com - Cannot connect to host sinofert.com:80 ssl:default [getaddrinfo failed]
2025-08-23 01:47:12,496 | WARNING | scraper.async_components | Circuit breaker OPEN for sinofert.com (5)
2025-08-23 01:47:12,507 | DEBUG   | scraper.async_http_client | Async GET https://daf.com -> 200 (len=85093)
2025-08-23 01:47:12,540 | INFO    | scraper.email_extractor |   0 emails on https://daf.com (def from text)
2025-08-23 01:47:12,579 | DEBUG   | scraper.email_extractor |   0 emails on https://daf.com (def from html)
2025-08-23 01:47:12,615 | DEBUG   | scraper.async_google_search | Async Google API search: "petrol rete" contact email
2025-08-23 01:47:12,616 | DEBUG   | scraper.async_google_search | Async rate limiting: waiting 0.80 seconds
2025-08-23 01:47:12,739 | DEBUG   | scraper.async_http_client | Async GET https://jp.mitsuichemicals.com/jp/index.htm -> 200 (len=149931)
2025-08-23 01:47:12,784 | INFO    | scraper.email_extractor |   0 emails on https://jp.mitsuichemicals.com/jp/index.htm (def from text)
2025-08-23 01:47:12,842 | DEBUG   | scraper.email_extractor |   0 emails on https://jp.mitsuichemicals.com/jp/index.htm (def from html)
